Heuristic 5,,,,,,,,Heuristic 6,,,,,,,,Heuristic 7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Board,Nodes-Expanded,Solution Depth,Branching-Factor,Effective-Branching-Factor,Solution-Time,Solution-Cost,,Board,Nodes-Expanded,Solution Depth,Branching-Factor,Effective-Branching-Factor,Solution-Time,Solution-Cost,,Board,Nodes-Expanded,Solution Depth,Branching-Factor,Effective-Branching-Factor,Solution-Time,Solution-Cost
,,,,,,,,,,,,,,,,,,,,,,
1,36106,107,337.439,1.103,13.52,231,,1,114,93,1.226,1.052,0.112,314,,1,4544,107,42.467,1.082,0.343,235
,,,,,,,,,,,,,,,,,,,,,,
2,28786,101,285.01,1.107,11.184,211,,2,106,86,1.233,1.056,0.118,296,,2,1464,97,15.093,1.078,0.164,213
,,,,,,,,,,,,,,,,,,,,,,
3,32088,95,337.768,1.115,12.716,228,,3,109,91,1.198,1.053,0.145,264,,3,3389,95,35.674,1.089,0.339,231
,,,,,,,,,,,,,,,,,,,,,,
4,24087,84,286.75,1.128,8.901,197,,4,95,72,1.319,1.065,0.133,243,,4,3088,80,38.6,1.106,0.26,203
,,,,,,,,,,,,,,,,,,,,,,
5,35414,102,347.196,1.108,12.844,238,,5,109,92,1.185,1.052,0.098,311,,5,4925,102,48.284,1.087,0.382,239
,,,,,,,,,,,,,,,,,,,,,,
6,36498,116,314.638,1.095,13.073,245,,6,125,99,1.263,1.05,0.152,309,,6,4822,126,38.27,1.07,0.411,251
,,,,,,,,,,,,,,,,,,,,,,
7,42632,134,318.149,1.083,15.025,285,,7,141,114,1.237,1.044,0.196,409,,7,7493,128,58.539,1.072,0.555,295
,,,,,,,,,,,,,,,,,,,,,,
8,35815,108,331.62,1.102,12.862,242,,8,99,88,1.125,1.054,0.166,287,,8,3221,109,29.55,1.077,0.283,244
,,,,,,,,,,,,,,,,,,,,,,
9,35821,110,325.645,1.1,13.346,261,,9,110,95,1.158,1.051,0.185,336,,9,10222,110,92.927,1.088,0.941,261
,,,,,,,,,,,,,,,,,,,,,,
10,35141,106,331.519,1.104,13.37,223,,10,112,92,1.217,1.053,0.101,314,,10,2035,112,18.17,1.07,0.192,227
,,,,,,,,,,,,,,,,,,,,,,
,34238.8,106.3,321.5734,1.1045,12.6841,236.1,,,112,92.2,1.2161,1.053,0.1406,308.3,,,4520.3,106.6,41.7574,1.0819,0.387,239.9
